incident_id,timestamp,attack_type,severity,source_ip,destination_ip,country,mitre_technique,status
INC00031,2024-11-28 11:04:00,Brute Force,4,85.81.67.231,10.0.43.142,Canada,T1081,Resolved
INC00032,2024-05-10 01:14:00,Malware,3,53.236.216.61,10.0.167.31,Germany,T1204,Open
INC00033,2024-03-11 11:19:00,Brute Force,6,196.248.115.59,10.0.181.4,China,T1204,Open
INC00034,2024-01-07 08:29:00,Malware,8,238.88.64.134,10.0.29.25,Japan,T1110,Investigating
INC00035,2024-06-05 14:25:00,Brute Force,4,18.93.78.216,10.0.137.39,Brazil,T1204,Resolved
INC00036,2024-03-22 15:13:00,Phishing,9,196.11.207.34,10.0.210.133,Germany,T1081,Investigating
INC00037,2024-03-10 08:59:00,Malware,10,208.138.134.92,10.0.115.210,UK,T1110,Open
INC00038,2024-02-22 11:40:00,Ransomware,3,33.35.101.162,10.0.165.119,France,T1566,Open
INC00039,2024-02-15 20:11:00,Brute Force,1,216.226.154.194,10.0.253.180,USA,T1059,Investigating
INC00040,2024-08-18 09:28:00,Phishing,5,74.18.21.175,10.0.171.88,Russia,T1499,Resolved
INC00041,2024-02-26 19:17:00,Phishing,5,87.245.115.215,10.0.214.81,China,T1059,Resolved
INC00042,2024-12-29 21:31:00,Insider Threat,10,221.228.0.41,10.0.103.225,France,T1110,Resolved
INC00043,2024-01-01 10:57:00,Malware,2,128.99.45.116,10.0.147.238,China,T1499,Open
INC00044,2024-09-03 10:10:00,Malware,10,84.89.237.66,10.0.48.119,Brazil,T1566,Resolved
INC00045,2024-05-18 09:10:00,Insider Threat,3,56.108.111.154,10.0.120.168,India,T1110,Investigating
INC00046,2024-10-20 01:39:00,Insider Threat,1,200.143.71.205,10.0.22.23,UK,T1059,Investigating
INC00047,2024-12-26 23:04:00,Phishing,7,232.116.25.119,10.0.7.170,Brazil,T1081,Investigating
INC00048,2024-02-08 23:27:00,Phishing,1,2.108.137.163,10.0.41.13,Brazil,T1204,Investigating
INC00049,2024-10-31 10:58:00,DDoS,2,143.245.205.59,10.0.64.222,China,T1499,Investigating
INC00050,2024-03-24 13:53:00,Ransomware,3,153.213.119.227,10.0.60.113,Japan,T1566,Open
INC00051,2024-08-16 00:45:00,Brute Force,5,14.96.254.200,10.0.243.202,France,T1566,Investigating
INC00052,2024-05-17 22:30:00,Brute Force,2,166.74.181.11,10.0.207.30,Germany,T1081,Open
INC00053,2024-02-25 00:31:00,DDoS,10,198.69.52.5,10.0.109.178,Russia,T1566,Investigating
INC00054,2024-03-21 22:51:00,DDoS,7,183.180.3.53,10.0.237.176,UK,T1204,Open
INC00055,2024-07-23 15:32:00,Malware,4,118.186.42.54,10.0.29.60,China,T1055,Open
INC00056,2024-03-22 06:01:00,DDoS,7,14.154.175.237,10.0.152.163,Japan,T1499,Investigating
INC00057,2024-02-26 16:08:00,Malware,3,177.158.194.168,10.0.105.87,Germany,T1055,Open
INC00058,2024-08-04 01:33:00,Phishing,4,86.194.70.126,10.0.48.141,USA,T1059,Resolved
INC00059,2024-12-08 22:27:00,Ransomware,3,80.79.35.3,10.0.10.193,USA,T1059,Resolved
INC00060,2024-12-15 19:52:00,Malware,1,137.246.22.90,10.0.179.171,China,T1059,Resolved
INC00061,2024-03-18 10:57:00,Phishing,10,58.9.247.66,10.0.131.154,Canada,T1081,Open
INC00062,2024-07-16 07:56:00,Phishing,1,160.230.96.165,10.0.130.45,Germany,T1499,Investigating
INC00063,2024-08-19 03:47:00,Brute Force,5,73.59.35.5,10.0.8.198,USA,T1059,Open
INC00064,2024-03-18 22:09:00,Malware,4,91.222.90.224,10.0.37.177,UK,T1055,Resolved
INC00065,2024-06-11 13:03:00,Phishing,7,104.175.121.191,10.0.168.215,USA,T1499,Open
INC00066,2024-06-08 13:03:00,DDoS,3,229.23.224.222,10.0.54.102,Canada,T1110,Open
INC00067,2024-04-17 03:30:00,Phishing,6,45.238.60.228,10.0.207.37,France,T1566,Open
INC00068,2024-04-30 04:10:00,Malware,3,213.210.42.240,10.0.152.112,Canada,T1059,Open
INC00069,2024-05-15 18:25:00,DDoS,9,139.148.169.47,10.0.1.232,France,T1059,Investigating
INC00070,2024-02-24 13:12:00,DDoS,7,9.255.95.141,10.0.89.113,Russia,T1110,Resolved
INC00071,2024-12-04 13:09:00,Malware,1,36.17.2.238,10.0.52.13,UK,T1110,Resolved
INC00072,2024-12-11 20:19:00,DDoS,5,10.175.45.194,10.0.124.234,Germany,T1059,Open
INC00073,2024-08-15 11:51:00,Ransomware,4,103.239.248.238,10.0.62.36,China,T1566,Open
INC00074,2024-09-09 21:21:00,Phishing,10,165.129.39.227,10.0.32.173,Brazil,T1059,Open
INC00075,2024-05-25 06:20:00,Insider Threat,3,66.172.185.125,10.0.242.125,France,T1110,Resolved
INC00076,2024-09-07 13:28:00,Brute Force,6,225.238.116.252,10.0.32.124,China,T1204,Investigating
INC00077,2024-01-25 20:40:00,Ransomware,7,254.145.204.29,10.0.255.186,Russia,T1081,Investigating
INC00078,2024-06-20 08:20:00,Insider Threat,6,37.219.106.215,10.0.75.50,China,T1566,Open
INC00079,2024-01-27 20:49:00,Ransomware,2,174.143.181.211,10.0.212.244,UK,T1055,Resolved
INC00080,2024-09-22 11:10:00,Brute Force,3,193.101.224.230,10.0.247.95,Brazil,T1204,Investigating
INC00081,2024-10-11 14:00:00,Ransomware,6,86.226.120.73,10.0.215.142,Japan,T1499,Open
INC00082,2024-02-15 21:01:00,DDoS,3,106.167.14.63,10.0.186.164,UK,T1055,Open
INC00083,2024-12-06 18:35:00,Phishing,8,239.166.22.27,10.0.145.205,UK,T1499,Open
INC00084,2024-06-21 21:39:00,Brute Force,5,7.32.210.46,10.0.114.203,India,T1110,Resolved
INC00085,2024-02-20 18:48:00,Insider Threat,9,202.84.218.17,10.0.55.167,France,T1059,Open
INC00086,2024-08-20 07:39:00,Insider Threat,7,80.157.72.54,10.0.105.211,India,T1110,Resolved
INC00087,2024-09-24 05:07:00,Insider Threat,6,46.20.160.10,10.0.217.112,Canada,T1110,Investigating
INC00088,2024-09-16 00:44:00,Insider Threat,10,15.152.207.54,10.0.185.85,Germany,T1110,Resolved
INC00089,2024-09-27 20:21:00,DDoS,10,157.36.151.189,10.0.166.134,India,T1204,Investigating
INC00090,2024-06-22 19:46:00,Malware,3,59.66.202.53,10.0.104.202,France,T1055,Investigating
INC00091,2024-11-05 15:45:00,Malware,10,236.218.88.51,10.0.166.146,USA,T1204,Open
INC00092,2024-08-27 17:12:00,DDoS,7,195.184.171.14,10.0.32.21,Japan,T1566,Investigating
INC00093,2024-09-11 13:43:00,Malware,1,130.140.54.195,10.0.1.86,Brazil,T1204,Investigating
INC00094,2024-08-15 18:26:00,Insider Threat,3,84.72.236.103,10.0.220.110,Germany,T1081,Open
INC00095,2024-12-16 06:54:00,Brute Force,1,248.87.200.92,10.0.117.244,Russia,T1110,Resolved
INC00096,2024-07-29 05:50:00,Phishing,1,170.213.115.200,10.0.200.27,France,T1566,Investigating
INC00097,2024-03-25 15:50:00,Malware,3,164.26.48.14,10.0.119.239,Canada,T1059,Resolved
INC00098,2024-05-23 16:22:00,Brute Force,8,174.234.99.219,10.0.44.125,Japan,T1110,Open
INC00099,2024-03-28 14:21:00,Phishing,2,118.206.29.189,10.0.173.104,Russia,T1055,Resolved
INC00100,2024-06-20 15:44:00,Brute Force,5,247.36.152.14,10.0.179.43,China,T1059,Open
INC00101,2024-02-25 01:01:00,Ransomware,7,222.192.140.145,10.0.199.137,UK,T1566,Resolved
INC00102,2024-04-16 13:53:00,Ransomware,2,76.111.240.90,10.0.173.20,Canada,T1204,Open
INC00103,2024-07-13 12:36:00,Malware,5,59.147.159.16,10.0.52.178,UK,T1059,Open
INC00104,2024-08-08 04:34:00,Malware,4,133.219.140.91,10.0.137.248,India,T1566,Investigating
INC00105,2024-04-29 17:39:00,DDoS,5,236.22.97.234,10.0.255.92,France,T1204,Open
INC00106,2024-04-11 20:14:00,DDoS,2,16.7.46.213,10.0.192.220,China,T1110,Resolved
INC00107,2024-01-01 15:48:00,DDoS,6,3.13.47.6,10.0.229.227,Brazil,T1059,Open
INC00108,2024-02-01 00:20:00,Brute Force,8,93.128.226.205,10.0.59.145,Russia,T1059,Open
INC00109,2024-06-06 12:28:00,DDoS,1,212.110.154.207,10.0.228.178,China,T1059,Open
INC00110,2024-10-31 22:50:00,Brute Force,7,177.53.0.108,10.0.234.237,China,T1110,Resolved
INC00111,2024-05-17 23:22:00,Ransomware,2,208.198.151.15,10.0.254.196,India,T1055,Investigating
INC00112,2024-06-04 21:04:00,Malware,2,20.121.29.252,10.0.207.150,UK,T1566,Resolved
INC00113,2024-06-05 12:35:00,Ransomware,1,136.188.177.70,10.0.52.16,Japan,T1055,Investigating
INC00114,2024-08-17 01:33:00,Brute Force,1,61.236.212.240,10.0.78.229,Russia,T1059,Open
INC00115,2024-12-11 20:31:00,Phishing,1,74.0.199.145,10.0.37.185,France,T1566,Open
INC00116,2024-02-07 10:55:00,DDoS,1,223.65.246.195,10.0.174.68,USA,T1059,Resolved
INC00117,2024-09-07 17:40:00,Ransomware,5,37.100.76.245,10.0.29.46,Canada,T1204,Investigating
INC00118,2024-08-05 23:21:00,Brute Force,4,217.99.235.75,10.0.68.126,Japan,T1110,Resolved
INC00119,2024-09-24 16:15:00,Ransomware,5,148.98.35.207,10.0.100.97,Russia,T1566,Investigating
INC00120,2024-03-09 01:20:00,Ransomware,7,64.136.27.110,10.0.4.77,UK,T1055,Resolved
INC00121,2024-10-24 05:05:00,Malware,2,189.228.240.118,10.0.186.120,India,T1499,Investigating
INC00122,2024-05-28 13:24:00,Brute Force,6,69.137.206.247,10.0.214.168,China,T1204,Resolved
INC00123,2024-04-04 06:33:00,Insider Threat,8,12.204.10.234,10.0.56.239,Canada,T1204,Investigating
INC00124,2024-02-18 16:17:00,Insider Threat,3,134.142.158.31,10.0.115.6,Canada,T1566,Investigating
INC00125,2024-11-04 08:17:00,Phishing,6,216.147.176.223,10.0.17.241,Canada,T1204,Resolved
INC00126,2024-01-14 19:05:00,Malware,2,205.169.252.177,10.0.58.132,France,T1055,Resolved
INC00127,2024-04-14 19:43:00,Brute Force,4,15.25.49.107,10.0.86.156,China,T1059,Investigating
INC00128,2024-12-03 08:16:00,Ransomware,5,9.171.228.5,10.0.57.45,China,T1081,Open
INC00129,2024-09-02 22:18:00,DDoS,7,144.142.138.154,10.0.58.128,Germany,T1566,Investigating
INC00130,2024-06-16 11:14:00,DDoS,3,28.82.122.50,10.0.49.245,Japan,T1110,Investigating
INC00131,2024-04-14 00:30:00,Phishing,1,213.238.33.158,10.0.77.212,USA,T1566,Open
INC00132,2024-09-19 13:57:00,DDoS,1,176.154.88.106,10.0.128.151,France,T1499,Resolved
INC00133,2024-11-18 11:52:00,Ransomware,7,223.161.237.49,10.0.12.197,France,T1059,Investigating
INC00134,2024-03-17 20:35:00,Brute Force,8,232.54.116.247,10.0.111.34,India,T1499,Resolved
INC00135,2024-10-29 03:51:00,Ransomware,8,30.39.150.180,10.0.135.8,China,T1081,Investigating
INC00136,2024-01-25 03:52:00,DDoS,2,133.231.234.255,10.0.1.115,Canada,T1055,Open
INC00137,2024-02-12 16:12:00,Brute Force,1,90.24.70.90,10.0.249.207,USA,T1059,Resolved
INC00138,2024-11-15 14:10:00,Ransomware,8,101.209.66.25,10.0.50.207,Germany,T1204,Open
INC00139,2024-08-15 11:32:00,DDoS,10,67.129.211.89,10.0.172.188,Japan,T1204,Open
INC00140,2024-01-20 14:02:00,DDoS,7,79.251.59.48,10.0.35.153,USA,T1566,Open
INC00141,2024-10-07 09:58:00,Malware,6,201.242.30.29,10.0.122.86,Russia,T1055,Resolved
INC00142,2024-10-09 00:11:00,Ransomware,6,70.209.119.165,10.0.212.200,India,T1081,Resolved
INC00143,2024-10-29 22:17:00,Phishing,2,10.138.147.172,10.0.187.45,Canada,T1499,Resolved
INC00144,2024-04-25 19:50:00,Insider Threat,2,22.85.215.202,10.0.154.71,France,T1566,Open
INC00145,2024-04-19 22:30:00,Malware,2,194.252.217.111,10.0.215.119,Brazil,T1499,Open
INC00146,2024-01-18 04:16:00,Malware,7,120.72.64.167,10.0.122.90,USA,T1110,Open
INC00147,2024-04-04 22:07:00,Malware,5,56.121.52.26,10.0.88.112,China,T1059,Resolved
INC00148,2024-02-25 14:00:00,Malware,2,163.28.158.59,10.0.222.71,UK,T1059,Resolved
INC00149,2024-09-13 20:36:00,Phishing,9,255.148.173.207,10.0.1.60,India,T1110,Resolved
INC00150,2024-02-08 18:06:00,Insider Threat,6,235.27.4.148,10.0.241.245,UK,T1110,Resolved
INC00151,2024-11-30 00:45:00,Phishing,7,46.117.83.24,10.0.26.114,UK,T1566,Investigating
INC00152,2024-11-09 06:35:00,Phishing,10,224.49.189.82,10.0.232.85,Germany,T1566,Open
INC00153,2024-08-19 07:36:00,Phishing,3,6.124.207.119,10.0.11.91,India,T1566,Investigating
INC00154,2024-01-20 11:08:00,Ransomware,1,233.237.13.78,10.0.72.176,Japan,T1055,Resolved
INC00155,2024-01-23 21:23:00,Brute Force,8,64.194.110.61,10.0.145.133,France,T1110,Investigating
INC00156,2024-01-18 17:42:00,Ransomware,10,223.13.118.31,10.0.151.253,UK,T1204,Resolved
INC00157,2024-09-10 13:04:00,Phishing,7,171.210.128.23,10.0.218.29,UK,T1566,Open
INC00158,2024-08-31 09:36:00,Ransomware,3,54.31.192.234,10.0.186.105,Germany,T1499,Investigating
INC00159,2024-01-06 13:24:00,Malware,2,154.120.62.48,10.0.138.244,Germany,T1081,Open
INC00160,2024-08-18 16:21:00,Phishing,2,157.253.108.181,10.0.135.255,China,T1110,Resolved
INC00161,2024-05-23 08:08:00,Insider Threat,1,170.62.250.216,10.0.72.10,China,T1566,Investigating
INC00162,2024-08-14 19:33:00,Phishing,4,241.130.126.170,10.0.121.4,Russia,T1566,Investigating
INC00163,2024-06-21 06:22:00,Insider Threat,5,254.134.179.31,10.0.183.228,UK,T1059,Resolved
INC00164,2024-01-28 00:36:00,Malware,4,125.168.62.186,10.0.225.156,Brazil,T1110,Open
INC00165,2024-11-09 12:18:00,Phishing,6,155.219.188.14,10.0.193.150,Brazil,T1499,Resolved
INC00166,2024-12-25 06:20:00,Insider Threat,6,214.116.73.24,10.0.68.31,India,T1204,Resolved
INC00167,2024-10-01 17:11:00,Brute Force,8,20.37.46.142,10.0.167.234,Germany,T1110,Resolved
INC00168,2024-05-25 08:44:00,Ransomware,4,207.91.165.197,10.0.21.210,Brazil,T1059,Resolved
INC00169,2024-02-10 19:26:00,Malware,9,182.25.74.96,10.0.247.199,China,T1055,Open
INC00170,2024-12-04 20:47:00,Ransomware,3,112.116.169.51,10.0.136.24,Brazil,T1059,Open
INC00171,2024-08-14 17:05:00,Brute Force,5,171.183.124.53,10.0.43.162,Canada,T1081,Investigating
INC00172,2024-06-05 21:05:00,Insider Threat,3,79.246.247.151,10.0.79.188,Japan,T1499,Resolved
INC00173,2024-05-23 03:41:00,Malware,9,253.34.2.139,10.0.102.129,India,T1110,Resolved
INC00174,2024-12-01 16:10:00,DDoS,2,3.84.243.239,10.0.218.59,Canada,T1110,Investigating
INC00175,2024-04-17 11:17:00,Insider Threat,10,158.131.71.129,10.0.66.163,Germany,T1566,Resolved
INC00176,2024-01-04 05:31:00,Phishing,5,152.189.225.41,10.0.65.179,Japan,T1499,Investigating
INC00177,2024-03-31 13:43:00,Brute Force,3,162.235.183.222,10.0.1.210,Canada,T1081,Resolved
INC00178,2024-08-05 18:45:00,Ransomware,5,18.147.97.6,10.0.25.158,Brazil,T1566,Resolved
INC00179,2024-08-24 21:01:00,Phishing,6,129.202.51.214,10.0.150.170,Russia,T1081,Open
INC00180,2024-09-07 19:51:00,Malware,7,249.118.82.250,10.0.212.181,UK,T1081,Open
INC00181,2024-06-29 20:49:00,Insider Threat,8,189.200.123.69,10.0.61.74,India,T1055,Resolved
INC00182,2024-05-21 10:07:00,DDoS,9,41.98.252.125,10.0.23.132,Japan,T1110,Investigating
INC00183,2024-10-13 21:36:00,Malware,2,152.54.233.107,10.0.96.117,Japan,T1499,Resolved
INC00184,2024-01-11 16:47:00,Phishing,10,179.191.135.165,10.0.205.186,Brazil,T1566,Resolved
INC00185,2024-02-28 13:25:00,Insider Threat,2,147.66.254.45,10.0.207.231,Japan,T1081,Open
INC00186,2024-03-26 10:04:00,Insider Threat,3,97.195.191.78,10.0.179.22,China,T1110,Investigating
INC00187,2024-07-24 00:52:00,Insider Threat,1,246.252.214.225,10.0.12.44,China,T1566,Open
INC00188,2024-05-04 08:14:00,Insider Threat,8,126.117.181.11,10.0.203.58,UK,T1055,Investigating
INC00189,2024-04-04 08:04:00,DDoS,7,15.224.246.123,10.0.243.129,France,T1204,Open
INC00190,2024-05-19 07:51:00,Ransomware,2,244.7.45.163,10.0.126.81,Canada,T1499,Resolved
INC00191,2024-04-10 09:45:00,Brute Force,2,201.32.220.8,10.0.11.134,Canada,T1499,Open
INC00192,2024-06-12 03:35:00,Ransomware,7,254.113.56.109,10.0.124.7,China,T1110,Resolved
INC00193,2024-07-10 11:09:00,Brute Force,9,136.16.102.142,10.0.151.60,Germany,T1110,Investigating
INC00194,2024-02-23 13:11:00,DDoS,2,130.148.59.147,10.0.46.255,USA,T1499,Investigating
INC00195,2024-12-04 03:59:00,Malware,8,33.50.101.72,10.0.198.62,Canada,T1499,Investigating
INC00196,2024-01-06 06:02:00,Ransomware,3,43.6.199.209,10.0.127.233,Russia,T1204,Resolved
INC00197,2024-07-24 10:53:00,DDoS,2,79.236.205.241,10.0.97.190,Russia,T1499,Investigating
INC00198,2024-04-25 08:27:00,Phishing,2,43.93.58.29,10.0.199.239,Brazil,T1110,Investigating
INC00199,2024-01-03 12:39:00,Ransomware,8,47.5.48.29,10.0.118.43,Canada,T1110,Open
INC00200,2024-09-03 20:07:00,Ransomware,10,16.225.24.15,10.0.156.195,China,T1055,Resolved
INC00201,2024-09-08 09:35:00,Brute Force,5,224.165.117.140,10.0.218.122,France,T1499,Resolved
INC00202,2024-04-17 22:03:00,Malware,2,20.201.1.143,10.0.222.44,Brazil,T1566,Resolved
INC00203,2024-09-10 03:06:00,DDoS,5,174.52.129.247,10.0.212.139,China,T1081,Open
INC00204,2024-02-05 10:46:00,DDoS,1,173.61.2.245,10.0.32.184,Russia,T1055,Open
INC00205,2024-12-03 09:17:00,Ransomware,2,252.93.209.251,10.0.169.101,Canada,T1566,Open
INC00206,2024-01-19 12:53:00,Insider Threat,10,237.20.90.77,10.0.92.229,Japan,T1566,Resolved
INC00207,2024-06-10 05:56:00,Ransomware,3,132.229.217.128,10.0.21.39,Canada,T1204,Investigating
INC00208,2024-03-25 12:39:00,Phishing,5,169.114.209.118,10.0.153.138,UK,T1081,Investigating
INC00209,2024-01-28 09:48:00,Ransomware,3,144.250.188.21,10.0.88.170,Germany,T1204,Open
INC00210,2024-04-29 14:00:00,Brute Force,3,67.72.106.3,10.0.118.216,Japan,T1204,Investigating
INC00211,2024-06-07 23:51:00,Phishing,8,84.181.28.83,10.0.186.119,Germany,T1566,Open
INC00212,2024-03-28 16:24:00,Phishing,10,234.36.190.6,10.0.116.220,Russia,T1059,Resolved
INC00213,2024-04-18 20:49:00,Phishing,8,30.231.139.198,10.0.159.103,Germany,T1055,Investigating
INC00214,2024-10-21 12:15:00,DDoS,10,145.223.90.158,10.0.41.158,Canada,T1566,Resolved
INC00215,2024-10-27 20:26:00,Insider Threat,10,122.89.102.50,10.0.33.146,Brazil,T1566,Resolved
INC00216,2024-04-15 01:23:00,DDoS,2,30.145.226.46,10.0.54.232,India,T1055,Investigating
INC00217,2024-03-22 01:11:00,Phishing,7,176.156.163.59,10.0.59.78,China,T1110,Investigating
INC00218,2024-12-16 17:25:00,Ransomware,4,243.66.57.48,10.0.244.70,UK,T1059,Open
INC00219,2024-07-29 14:36:00,Ransomware,2,5.82.230.26,10.0.186.72,Germany,T1110,Open
INC00220,2024-01-20 00:23:00,Brute Force,6,251.29.67.49,10.0.51.68,UK,T1110,Investigating
INC00221,2024-12-23 20:15:00,DDoS,7,186.40.78.219,10.0.84.78,India,T1499,Resolved
INC00222,2024-01-07 09:58:00,Brute Force,7,170.188.116.194,10.0.48.8,Germany,T1499,Investigating
INC00223,2024-06-06 19:48:00,Malware,3,142.97.224.240,10.0.173.15,Japan,T1499,Resolved
INC00224,2024-04-03 03:45:00,Malware,9,233.29.42.150,10.0.230.71,Japan,T1204,Resolved
INC00225,2024-03-13 11:10:00,Insider Threat,9,105.92.9.22,10.0.144.189,China,T1055,Resolved
INC00226,2024-12-25 18:57:00,DDoS,4,246.18.234.3,10.0.122.178,Brazil,T1110,Resolved
INC00227,2024-01-21 12:57:00,Malware,3,166.192.36.164,10.0.125.239,Russia,T1110,Resolved
INC00228,2024-06-25 02:36:00,DDoS,10,100.30.158.198,10.0.109.239,UK,T1081,Open
INC00229,2024-04-20 01:39:00,Malware,7,209.167.118.200,10.0.101.178,Brazil,T1055,Resolved
INC00230,2024-12-10 18:00:00,Phishing,2,221.86.14.161,10.0.81.205,UK,T1110,Resolved
INC00231,2024-04-21 07:18:00,Brute Force,6,239.20.206.26,10.0.7.6,Japan,T1055,Open
INC00232,2024-03-14 17:04:00,Insider Threat,5,195.183.232.189,10.0.23.221,India,T1499,Investigating
INC00233,2024-05-21 14:17:00,Ransomware,4,38.91.16.83,10.0.132.155,USA,T1059,Open
INC00234,2024-10-20 21:31:00,Insider Threat,10,100.81.69.92,10.0.233.25,UK,T1499,Resolved
INC00235,2024-07-20 19:43:00,Brute Force,9,20.67.89.75,10.0.197.142,Germany,T1110,Resolved
INC00236,2024-07-31 07:18:00,Malware,5,170.131.166.181,10.0.154.67,USA,T1499,Resolved
INC00237,2024-10-28 20:59:00,Ransomware,5,230.186.6.202,10.0.83.195,Japan,T1055,Resolved
INC00238,2024-10-27 13:03:00,DDoS,5,195.178.191.219,10.0.229.102,USA,T1566,Resolved
INC00239,2024-11-05 13:08:00,Brute Force,10,79.137.19.221,10.0.173.58,Brazil,T1499,Resolved
INC00240,2024-09-09 00:01:00,Insider Threat,3,32.174.100.123,10.0.109.56,France,T1059,Investigating
INC00241,2024-03-26 15:19:00,Insider Threat,9,206.174.164.99,10.0.187.197,India,T1081,Investigating
INC00242,2024-05-28 22:01:00,DDoS,4,144.117.247.109,10.0.89.194,India,T1081,Investigating
INC00243,2024-12-19 05:45:00,Insider Threat,10,139.119.147.175,10.0.181.114,France,T1055,Open
INC00244,2024-02-03 12:07:00,Ransomware,10,20.3.210.189,10.0.245.130,China,T1081,Investigating
INC00245,2024-02-02 19:53:00,Malware,2,89.97.112.63,10.0.166.255,India,T1059,Investigating
INC00246,2024-06-11 02:35:00,Brute Force,7,191.38.183.233,10.0.155.138,UK,T1499,Investigating
INC00247,2024-12-04 06:40:00,Insider Threat,4,69.202.43.190,10.0.21.175,Germany,T1204,Open
INC00248,2024-04-07 22:21:00,Malware,4,155.94.26.30,10.0.200.247,UK,T1055,Investigating
INC00249,2024-09-28 23:24:00,Malware,2,231.97.96.241,10.0.211.140,Canada,T1110,Investigating
INC00250,2024-01-18 11:14:00,DDoS,5,198.37.212.52,10.0.11.179,Brazil,T1110,Open
INC00251,2024-06-18 01:54:00,Phishing,1,249.72.216.231,10.0.46.60,Japan,T1055,Open
INC00252,2024-05-19 08:41:00,Insider Threat,3,140.176.13.189,10.0.17.141,USA,T1081,Open
INC00253,2024-09-26 01:35:00,Ransomware,4,255.27.54.155,10.0.5.10,India,T1059,Open
INC00254,2024-02-22 15:40:00,Malware,9,181.194.74.165,10.0.253.69,Germany,T1566,Open
INC00255,2024-09-21 21:45:00,Malware,10,13.56.115.169,10.0.68.112,UK,T1055,Open
INC00256,2024-05-17 06:44:00,Malware,4,54.13.242.105,10.0.193.126,UK,T1499,Open
INC00257,2024-04-12 16:32:00,Insider Threat,3,194.109.201.207,10.0.117.13,France,T1566,Open
INC00258,2024-07-20 14:28:00,Malware,10,64.97.72.162,10.0.172.62,Brazil,T1081,Investigating
INC00259,2024-01-13 02:03:00,Insider Threat,2,200.161.188.18,10.0.189.47,Russia,T1204,Investigating
INC00260,2024-07-11 02:04:00,Insider Threat,9,11.135.185.110,10.0.208.81,Germany,T1055,Resolved
INC00261,2024-01-02 12:29:00,Phishing,4,150.122.93.114,10.0.112.22,Brazil,T1566,Open
INC00262,2024-02-13 02:08:00,Insider Threat,4,137.203.38.254,10.0.91.77,USA,T1204,Open
